                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.72676,                0.51755,                 1.2024,                      1,                 0.9975,                  0.995,                 0.8234,                0.72243,                0.42081,                 1.3501,              0.0010892,              0.0010892,              0.0010892
                     49,                0.78319,                0.56714,                 1.2444,                0.98209,                  0.997,                0.99411,                0.82905,                0.71404,                0.44379,                 1.3637,              0.0010694,              0.0010694,              0.0010694
                     50,                0.69157,                0.51457,                 1.2052,                0.96306,                      1,                0.98529,                0.80302,                0.73975,                0.44629,                 1.3745,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70372,                0.51005,                 1.1738,                0.98142,                 0.9606,                0.99217,                0.80866,                0.74746,                0.46007,                 1.3904,              0.0010298,              0.0010298,              0.0010298
                     52,                0.73761,                0.53823,                 1.2409,                0.96426,                      1,                  0.995,                0.79461,                0.75031,                0.44192,                 1.3934,                0.00101,                0.00101,                0.00101
                     53,                0.65488,                0.47019,                 1.1268,                0.95915,                0.98182,                0.97644,                  0.799,                0.76834,                0.48127,                 1.4053,              0.0009902,              0.0009902,              0.0009902
                     54,                0.74615,                0.52536,                 1.2435,                 0.9874,                      1,                  0.995,                0.80364,                0.77774,                0.45405,                 1.4727,              0.0009704,              0.0009704,              0.0009704
                     55,                0.65514,                0.48493,                 1.1642,                0.99631,                0.98182,                0.99482,                0.80128,                0.78684,                0.41749,                 1.3913,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81567,                0.73462,                 1.2809,                 0.9808,                      1,                  0.995,                0.83081,                0.68777,                0.40283,                 1.3085,              0.0009308,              0.0009308,              0.0009308
                     57,                0.68086,                0.49636,                 1.1665,                0.97748,                0.96364,                0.99197,                0.82446,                 0.7057,                0.44095,                 1.3415,               0.000911,               0.000911,               0.000911
                     58,                0.68849,                0.49236,                 1.1831,                0.99457,                0.98182,                0.99465,                 0.8277,                0.69649,                0.41221,                 1.3299,              0.0008912,              0.0008912,              0.0008912
                     59,                0.69806,                0.45737,                 1.1784,                 0.9989,                      1,                  0.995,                0.84183,                0.66832,                0.38496,                  1.293,              0.0008714,              0.0008714,              0.0008714
                     60,                0.65361,                0.46121,                 1.1563,                0.99865,                      1,                  0.995,                 0.8521,                0.63221,                0.38478,                  1.263,              0.0008516,              0.0008516,              0.0008516
                     61,                0.68847,                0.48842,                 1.2138,                0.97776,                      1,                0.99446,                0.84763,                0.62528,                0.38124,                 1.2493,              0.0008318,              0.0008318,              0.0008318
                     62,                0.63645,                0.44494,                 1.1454,                0.97975,                      1,                0.99482,                0.83293,                0.64196,                0.37231,                 1.2772,               0.000812,               0.000812,               0.000812
                     63,                0.62264,                0.47826,                 1.1634,                0.99856,                0.98182,                0.99286,                0.80944,                0.70937,                0.42666,                 1.3452,              0.0007922,              0.0007922,              0.0007922
                     64,                0.63852,                0.47292,                 1.1431,                0.98152,                0.98182,                  0.985,                0.82057,                0.69383,                0.40538,                 1.3488,              0.0007724,              0.0007724,              0.0007724
                     65,                0.65887,                0.43922,                 1.1358,                0.96284,                0.98182,                0.98373,                0.82004,                0.68189,                0.42276,                 1.3273,              0.0007526,              0.0007526,              0.0007526
                     66,                0.70708,                 0.4825,                 1.1962,                0.94704,                0.98182,                0.99043,                0.84195,                0.70373,                0.43478,                 1.3241,              0.0007328,              0.0007328,              0.0007328
                     67,                0.62899,                0.41973,                 1.1271,                      1,                0.95739,                0.99345,                0.82756,                 0.7115,                0.42162,                 1.3516,               0.000713,               0.000713,               0.000713
                     68,                0.61895,                0.43269,                 1.1314,                0.99716,                0.98182,                0.99448,                0.83175,                0.71413,                0.42772,                 1.3695,              0.0006932,              0.0006932,              0.0006932
